area,buildingName,buildingNum,buildingYear,category,checkDay,checkNum,checkType,createDate,createUserId,createUserName,csfs,dhyh,dtwx,dtwxyzpsyzqx,dzsbps,equipmentTypeName,ewa,fileList,files,floor,ids,inDate,isProblemSituation,isType,lastMileage,lat,lineName,lng,lyState,modifyDate,modifyUserId,modifyUserName,num,pieces,qrCode,qtps,remark,rlId,septicTankNum,siteInstallation,snsbps,state,stationId,stationName,structureType,tebId,technologyState,type,useDepart,useType,workareaDepartId,workareaDepartName,workshopDepartId,workshopDepartName,xfsbps,ybfsbxdhyh,yzfs,yzjsdmjkwbp,yzly,yzlyybqx
242.8,信号楼硬化面,公-2,,,,,,1.759117443683e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,,,,27224,,https://ncjnas.coolmitech.com:50443/123/ed8365e53ab7240aaa9f59927991e6ea?objectKey=nas/ncfjd/tlsbgl/2025/10/17/1760702743399_61282488.png&expireTime=1762412935349&signature=63fLWtiWualw1N2x0lbiEhDbxxW1tjqMzsTFCmg5Npo,,,70,,,,1,112,兴国西站,混凝土,37222,一级,1,赣州工务段,道路、广场、地面硬化,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
88,公安派出所硬化面,公-7,,,,,,1.759117756823e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760944115448e+12,770,宋红根,27229,,https://ncjnas.coolmitech.com:50443/123/8e5989aa1df37e8c3a7d4934f8d7426f?objectKey=nas/ncfjd/tlsbgl/2025/10/20/1760972895506_78255909.png&expireTime=1762412935351&signature=Mwf6P9FQpX4D0PaXcNoeHXtZRzTquhkIDfcslZq47t9,,,70,,,,1,112,兴国西站,混凝土,37225,一级,1,赣州车务段,道路、广场、地面硬化,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
19.2,公安派出所停车雨棚,公-8,,,,,,1.759117886952e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760944673353e+12,770,宋红根,27230,,https://ncjnas.coolmitech.com:50443/123/660ac591e54576eded72f018523a15d7?objectKey=nas/ncfjd/tlsbgl/2025/10/20/1760973376431_24904366.png&expireTime=1762412935352&signature=wRK2R4hGyVYTCiM9q9WUupU8zIIDJoJPcm5pAohXmcJ,,,70,,,,1,112,兴国西站,钢,37226,一级,1,赣州公安处,道路、广场、地面硬化,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
89,车站单身宿舍围墙,公-12,,,,,,1.759118180599e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760945149834e+12,770,宋红根,27233,,https://ncjnas.coolmitech.com:50443/123/503ab0b80c57762cc550f363f0f6bc62?objectKey=nas/ncfjd/tlsbgl/2025/10/20/1760973941140_96501529.png&expireTime=1762412935354&signature=hlj3Dk0DAfwvJl6btC9Yx7apubppKG6XFVTtRX6BqOj,,,70,,,,1,112,兴国西站,砖,37229,二级,1,赣州车务段,围墙、栅栏（含玻璃栏板、站台端头栏杆）,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
90.5,车站单身宿舍楼硬化面,公-13,,,,,,1.759118273824e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760945270091e+12,770,宋红根,27234,,https://ncjnas.coolmitech.com:50443/123/1ac9703a816438770003810719683b95?objectKey=nas/ncfjd/tlsbgl/2025/10/20/1760974068166_74622650.png&expireTime=1762412935355&signature=ZRxxxiGlg0GCKG9tNTUQ7StwH44SX3OqkJxqQejBegL,,,70,,,,1,112,兴国西站,混凝土,37230,一级,1,赣州车务段,道路、广场、地面硬化,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
87,车站单身宿舍篮球场,公-14,,,,,,1.759118374632e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.76094556103e+12,770,宋红根,27235,,https://ncjnas.coolmitech.com:50443/123/e02251ca037acb939ffeb8ae2af5503e?objectKey=nas/ncfjd/tlsbgl/2025/10/20/1760974348843_02491299.png&expireTime=1762412935357&signature=KnMy52mJGeQXj4u8M3KXMA5SCYT8xckhJ8VY2wJyzcz,,,70,,,,1,112,兴国西站,混凝土,37231,一级,1,赣州车务段,室外篮球场,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
362,综合车间道路排水管,49,,,,,,1.760943264548e+12,770,宋红根,,,,,,,,,,,,2025-10-20,,,,,沪昆客专,,,1.76152905898e+12,770,宋红根,22071,,https://ncjnas.coolmitech.com:50443/123/9433c7822524f58aa82125d08ba63986?objectKey=nas/ncfjd/tlsbgl/2025/10/21/1761053890359_92516785.png&expireTime=1762412935359&signature=9KIe9PiGSm3ZQdRUZpcy25SdGJOG5OeLr5XrQslwtw9,,,76,,,,1,226,新余北,混合结构,46940,二级,2,南昌房建生活段,排水沟（管）,151,新余北高铁综合工区,143,南昌西高铁房建车间,,,,,,
2040,维修工区护坡,公-43,,,,,,1.759120541715e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760947755555e+12,770,宋红根,27262,,https://ncjnas.coolmitech.com:50443/123/fe703f0e30a228e8da69edbdcebcfd0f?objectKey=nas/ncfjd/tlsbgl/2025/10/20/1760976554336_08907349.png&expireTime=1762412935360&signature=pGe2b2CpWP8LkKMv0ldsV8QxHGiRNuMaCeFhQqiFTZg,,,70,,,,1,112,兴国西站,混凝土,37249,一级,1,赣州工务段,挡墙护坡,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
7.8,车站单身宿舍摩托车棚,公-17,,,,,,1.759118701924e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760956923658e+12,770,宋红根,27238,,https://ncjnas.coolmitech.com:50443/123/bcddf69b8387fcb1f570afde41bba434?objectKey=nas/ncfjd/tlsbgl/2025/10/20/1760985722378_61209494.png&expireTime=1762412935362&signature=9y79boSoLKhKU9mFGxp2fdqkLrGdaU6o90RcytzO9gh,,,70,,,,1,112,兴国西站,混凝土,37234,一级,1,赣州车务段,道路、广场、地面硬化,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
75,DK329+850下兰坑AT所围墙,29-1,,,,,,1.759122381834e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760958245521e+12,770,宋红根,26597,,https://ncjnas.coolmitech.com:50443/123/33658a40f7024f47f5315bd50fce36ac?objectKey=nas/ncfjd/tlsbgl/2025/10/20/1760987038525_57375812.png&expireTime=1762412935364&signature=s0sKqnYfEZQ1OIkVInlHh2uMSopMk4MQvLSuow88G25,,,70,,,,1,112,兴国西站,砖,37271,一级,1,赣州工务段,围墙、栅栏（含玻璃栏板、站台端头栏杆）,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
